Module	Level	Semester	Academic year	SPR code	Route	RAvB	Cwk RAvB	Diet 1 Status	Diet 2 Status
BS11001	1	1	1213	120008493	BIOC	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120007779	ANATAPHSC	12.36	8.399	Normal	Normal
BS11001	1	1	1213	120004682	MOLB	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120008183	BIOLOGSCI	15.71	16.8	Normal	Normal
BS11001	1	1	1213	120027237	LSOR	WD	WD	WD	Normal
BS11001	1	1	1213	120001416	PDEN	18.59	21.00	Normal	Normal
BS11001	1	1	1213	100001054	BIOLOGSCI	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120001960	MBIO	19.8	21.00	DR	Normal
BS11001	1	1	1213	120012399	MOLG	19.32	19.8	Normal	Normal
BS11001	1	1	1213	120015620	PSYC2	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120011576	BIOC	16.72	20.8	Normal	Normal
BS11001	1	1	1213	120008008	BIOLOGSCI	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120026835	ANAT	12	21.00	Normal	Normal
BS11001	1	1	1213	120026663	BIMS	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120026799	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120005279	MBIO	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120007112	BIOLOGSCI	16.72	20.8	Normal	Normal
BS11001	1	1	1213	120027242	LSOR	15.8	17	Normal	Normal
BS11001	1	1	1213	120007276	FOAN	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120009718	BIMS	17.52	16.79	Normal	Normal
BS11001	1	1	1213	110004551	ANATAPHSC	WD	WD	WD	Normal
BS11001	1	1	1213	120001247	NEUR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	090006692	FOAN	19.64	20.6	Normal	Normal
BS11001	1	1	1213	120007058	ANAT	19.16	19.40	Normal	Normal
BS11001	1	1	1213	110005958	MOLG	18.59	21.00	Normal	Normal
BS11001	1	1	1213	110007371	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120010929	NEUR	16.16	16.40	Normal	Normal
BS11001	1	1	1213	120001877	NEUR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120011504	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120027234	LSOR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120008949	PHSC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120007353	PHAR	16.68	19.2	Normal	Normal
BS11001	1	1	1213	110014911	FOAN	14.04	12.6	Normal	Normal
BS11001	1	1	1213	120014232	ANATAPHSC	19.2	21.00	Normal	Normal
BS11001	1	1	1213	110025876	ANATAPHSC	17.2	13	Normal	Normal
BS11001	1	1	1213	120011515	BIMS	20.4	21.00	SC2	Normal
BS11001	1	1	1213	120007904	BIMS	17.88	16.2	Normal	Normal
BS11001	1	1	1213	100011197	PHAR	18	21.00	DR	Normal
BS11001	1	1	1213	110007962	MOLG	20.32	20.8	Normal	Normal
BS11001	1	1	1213	120004959	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120010139	LSOR	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120009851	LSOR	15.12	16.79	Normal	Normal
BS11001	1	1	1213	120007011	BIOC	19.2	21.00	Normal	Normal
BS11001	1	1	1213	050015744	FOAN	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120006216	PHAR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120007872	FOAN	15.52	20.8	Normal	Normal
BS11001	1	1	1213	120001827	BIMS	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120002074	PDEN	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120005430	BCDD	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120001407	BIMS	19.8	21.00	DR	Normal
BS11001	1	1	1213	120026930	NEUR	18.59	21.00	Normal	Normal
BS11001	1	1	1213	050009270	BIMS	WD	WD	WD	Normal
BS11001	1	1	1213	120005101	BIOLOGSCI	WD	WD	WD	Normal
BS11001	1	1	1213	120026683	MABI	14.52	16.79	Normal	Normal
BS11001	1	1	1213	120011004	ANATAPHSC	16.64	20.6	Normal	Normal
BS11001	1	1	1213	110013945	SPBI	WD	WD	WD	Normal
BS11001	1	1	1213	120011330	BIOLOGSCI	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120015699	MOLG	WD	WD	WD	Normal
BS11001	1	1	1213	120018294	BIMS	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120005511	BIMS	18	21.00	Normal	Normal
BS11001	1	1	1213	120027243	LSOR	WD	WD	WD	Normal
BS11001	1	1	1213	120013317	FOAN	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120027241	LSOR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120002580	BIMS	WD	WD	WD	Normal
BS11001	1	1	1213	100000590	PHAR	17.24	20.6	Normal	Normal
BS11001	1	1	1213	110006011	BIOC	16.8	21.00	Normal	Normal
BS11001	1	1	1213	120015646	ANATAPHSC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120012998	BIOC	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120026838	ANAT	15.6	21.00	Normal	Normal
BS11001	1	1	1213	120009993	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120027238	LSOR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120003658	NEUR	16.36	15.40	Normal	Normal
BS11001	1	1	1213	120012250	FOAN	21	21.00	Normal	Normal
BS11001	1	1	1213	120011475	LSOR	5.04	12.6	Normal	Normal
BS11001	1	1	1213	120017019	PSYC2	WD	WD	WD	Normal
BS11001	1	1	1213	120027240	LSOR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120006736	BIMS	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120001726	BIMS	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120002436	BIMS	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120016964	NEUR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120005837	BIOLOGSCI	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120009968	BIOLOGSCI	17.36	19.4	Normal	Normal
BS11001	1	1	1213	120004067	FOAN	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120014040	LSOR	16.04	20.6	Normal	Normal
BS11001	1	1	1213	120001810	BIMS	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120001957	PMED	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120016046	BIMS	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120001752	PMED	16.44	12.6	Normal	Normal
BS11001	1	1	1213	120010559	BIOC	13.76	7.399	Normal	Normal
BS11001	1	1	1213	120018943	NEUR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120012901	PSYC2	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120012549	NEUR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120011599	BIMS	17.52	16.79	Normal	Normal
BS11001	1	1	1213	120010660	MBIO	19.4	20	Normal	Normal
BS11001	1	1	1213	120008420	MATH	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120005775	BIOLOGSCI	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120006150	BIOLOGSCI	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120019201	PHAR	16.8	21.00	Normal	Normal
BS11001	1	1	1213	120010826	SPBI	16.96	15.4	Normal	Normal
BS11001	1	1	1213	120017630	BIMS	WD	WD	WD	Normal
BS11001	1	1	1213	120001695	BIMS	18.12	16.79	Normal	Normal
BS11001	1	1	1213	120013028	BCDD	17.16	17.4	Normal	Normal
BS11001	1	1	1213	120007398	PHAR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120001651	PMED	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120026760	BIOLOGSCI	12.6	12.6	Normal	Normal
BS11001	1	1	1213	110020201	FOAN	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120013546	BIOLOGSCI	18.59	21.00	DR	Normal
BS11001	1	1	1213	120027058	MATH	18.88	20.20	Normal	Normal
BS11001	1	1	1213	120001794	PMED	18.59	21.00	Normal	Normal
BS11001	1	1	1213	110001073	BIMS	13.16	16.4	Normal	Normal
BS11001	1	1	1213	120001821	PHAR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120027239	LSOR	18.59	21.00	Normal	Normal
BS11001	1	1	1213	100010219	BIMS	18	21.00	Normal	Normal
BS11001	1	1	1213	120005981	PSYC2	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120012314	BIMS	21	21.00	DR	Normal
BS11001	1	1	1213	120008383	ANATAPHSC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120016643	NEUR	16.2	21.00	Normal	Normal
BS11001	1	1	1213	110003256	PDEN	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120009077	PHAR	18.12	16.79	Normal	Normal
BS11001	1	1	1213	120027235	LSOR	WD	WD	WD	Normal
BS11001	1	1	1213	120001771	PMED	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120002203	BIOC	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120009528	SPBI	17.16	20.40	Normal	Normal
BS11001	1	1	1213	120012194	LSOR	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120003828	NEUR	20.84	20.6	Normal	Normal
BS11001	1	1	1213	120026830	MATH	WD	WD	WD	Normal
BS11001	1	1	1213	120007093	BIOLOGSCI	16.43	18.6	Normal	Normal
BS11001	1	1	1213	120013230	BIOLOGSCI	18.72	16.79	Normal	Normal
BS11001	1	1	1213	120014631	ANATAPHSC	19.2	21.00	Normal	Normal
BS11001	1	1	1213	110010765	BCDD	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120016260	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120018742	PSYC2	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120022576	ANAT	19.2	21.00	Normal	Normal
BS11001	1	1	1213	080001220	BIOLOGSCI	20.4	21.00	DR	Normal
BS11001	1	1	1213	100009584	BIOLOGSCI	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120017606	BIOLOGSCI	17.04	12.6	Normal	Normal
BS11001	1	1	1213	120008963	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120014231	BIOLOGSCI	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120008370	FOAN	15.83	12.6	Normal	Normal
BS11001	1	1	1213	120027236	LSOR	18	21.00	Normal	Normal
BS11001	1	1	1213	120008482	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120020524	FOAN	21	21.00	Normal	Normal
BS11001	1	1	1213	120009562	MABI	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120010538	ANAT	18.12	16.79	Normal	Normal
BS11001	1	1	1213	120005441	FOAN	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120013366	BIOLOGSCI	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120014617	LSOR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120011520	BIOLOGSCI	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120008871	FOAN	16.32	16.79	Normal	Normal
BS11001	1	1	1213	120027090	FOAN	WD	WD	WD	Normal
BS11001	1	1	1213	120001425	ANAT	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120006804	BIMS	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120023162	NEUR	WD	WD	WD	Normal
BS11001	1	1	1213	120009093	SPBI	16.32	16.79	Normal	Normal
BS11001	1	1	1213	120004252	BIOC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120011539	FOAN	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120027233	LSOR	WD	WD	WD	Normal
BS11001	1	1	1213	120008081	MBIO	18.43	20.6	Normal	Normal
BS11001	1	1	1213	120007831	PHAR	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120010725	BIMS	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120010656	BIMS	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120003193	FOAN	20.32	20.8	Normal	Normal
BS11001	1	1	1213	110000977	FOAN	18	21.00	Normal	Normal
BS11001	1	1	1213	090005853	GEOGAENVS	8.4	21.00	Normal	Normal
BS11001	1	1	1213	120016045	BIOLOGSCI	20.36	19.4	Normal	Normal
BS11001	1	1	1213	120006404	BIMS	17.52	16.79	Normal	Normal
BS11001	1	1	1213	120010662	BIMS	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120005470	FOAN	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120012424	ANATAPHSC	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120008583	SPBI	17.91	17.8	DR	Normal
BS11001	1	1	1213	120006549	NEUR	17.91	20.8	Normal	Normal
BS11001	1	1	1213	120002090	BIMS	14.63	12.6	Normal	Normal
BS11001	1	1	1213	120027244	LSOR	16.08	16.2	Normal	Normal
BS11001	1	1	1213	120025384	BIMS	17.84	20.6	Normal	Normal
BS11001	1	1	1213	120003201	BIMS	18.52	20.8	Normal	Normal
BS11001	1	1	1213	120007374	MBIO	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120013698	BIMS	12.4	12.99	Normal	Normal
BS11001	1	1	1213	120007931	BIMS	16.91	19.8	Normal	Normal
BS11001	1	1	1213	100013902	ANATAPHSC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120019455	FOAN	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120009527	BIMS	14.95	16.40	Normal	Normal
BS11001	1	1	1213	120018411	PSYC1	20.4	21.00	Normal	Normal
BS11001	1	1	1213	110001100	PMED	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120011324	ANATAPHSC	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120005631	BIMS	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120018025	BIMS	16.2	21.00	Normal	Normal
BS11001	1	1	1213	120011082	FOAN	20.4	21.00	Normal	Normal
BS11001	1	1	1213	110016225	MOLB	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120010928	BIOC	19.8	21.00	Normal	Normal
BS11001	1	1	1213	110011946	ANAT	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120001653	BIMS	20.4	21.00	Normal	Normal
BS11001	1	1	1213	120007075	FOAN	17.4	21.00	Normal	Normal
BS11001	1	1	1213	120009405	FOAN	19.8	21.00	Normal	Normal
BS11001	1	1	1213	120010516	BIMS	14.92	14.79	Normal	Normal
BS11001	1	1	1213	120010314	ANAT	11.47	12.2	Normal	Normal
BS11001	1	1	1213	120027232	LSOR	19.2	21.00	Normal	Normal
BS11001	1	1	1213	120010634	LSOR	18.59	21.00	Normal	Normal
BS11001	1	1	1213	120006387	ANAT	19.56	20.40	Normal	Normal
BS11001	1	1	1213	120015554	FOAN	19.2	21.00	Normal	Normal
